impl,workload,nkeys,threads,nlocks,seconds,seed,run_id,total_ops,ops_per_s
coarse,mix7030,100000,16,1024,2,123,2,3168198,1.58346e+06
coarse,mix7030,100000,16,1024,2,123,3,2997250,1.49806e+06
coarse,mix7030,1000000,1,1024,2,123,1,5100803,2.55032e+06
coarse,mix7030,1000000,1,1024,2,123,2,4994891,2.49734e+06
coarse,mix7030,1000000,1,1024,2,123,3,5153863,2.57682e+06
coarse,mix7030,1000000,2,1024,2,123,1,2978011,1.48894e+06
coarse,mix7030,1000000,2,1024,2,123,2,2898770,1.4493e+06
coarse,mix7030,1000000,2,1024,2,123,3,3003727,1.5018e+06
coarse,mix7030,1000000,4,1024,2,123,1,2101357,1.0506e+06
coarse,mix7030,1000000,4,1024,2,123,2,2050360,1.02512e+06
coarse,mix7030,1000000,4,1024,2,123,3,2206574,1.10321e+06
coarse,mix7030,1000000,8,1024,2,123,1,1722354,861012
coarse,mix7030,1000000,8,1024,2,123,2,1824650,912145
coarse,mix7030,1000000,8,1024,2,123,3,1865577,932575
coarse,mix7030,1000000,16,1024,2,123,1,1903049,951262
coarse,mix7030,1000000,16,1024,2,123,2,1829520,914385
coarse,mix7030,1000000,16,1024,2,123,3,1827385,913302
striped,lookup,10000,1,1024,2,123,1,31242745,1.56202e+07
striped,lookup,10000,1,1024,2,123,2,28763389,1.43805e+07
striped,lookup,10000,1,1024,2,123,3,29554458,1.47761e+07
striped,lookup,10000,2,1024,2,123,1,39210060,1.96023e+07
striped,lookup,10000,2,1024,2,123,2,39216393,1.96062e+07
striped,lookup,10000,2,1024,2,123,3,39594304,1.97949e+07
striped,lookup,10000,4,1024,2,123,1,64419861,3.22059e+07
striped,lookup,10000,4,1024,2,123,2,64316620,3.21524e+07
striped,lookup,10000,4,1024,2,123,3,64019917,3.20053e+07
striped,lookup,10000,8,1024,2,123,1,91395018,4.5679e+07
striped,lookup,10000,8,1024,2,123,2,105065306,5.25101e+07
striped,lookup,10000,8,1024,2,123,3,90562567,4.52652e+07
striped,lookup,10000,16,1024,2,123,1,104769293,5.23467e+07
striped,lookup,10000,16,1024,2,123,2,93341177,4.66305e+07
striped,lookup,10000,16,1024,2,123,3,120884475,6.03914e+07
striped,lookup,100000,1,1024,2,123,1,11748129,5.87369e+06
striped,lookup,100000,1,1024,2,123,2,12817933,6.40827e+06
striped,lookup,100000,1,1024,2,123,3,13571857,6.78534e+06
striped,lookup,100000,2,1024,2,123,1,20827018,1.04123e+07
striped,lookup,100000,2,1024,2,123,2,38407302,1.92014e+07
striped,lookup,100000,2,1024,2,123,3,47087546,2.35398e+07
striped,lookup,100000,4,1024,2,123,1,90984811,4.54856e+07
striped,lookup,100000,4,1024,2,123,2,89763725,4.48727e+07
striped,lookup,100000,4,1024,2,123,3,90846393,4.54152e+07
striped,lookup,100000,8,1024,2,123,1,133265939,6.661e+07
striped,lookup,100000,8,1024,2,123,2,135057839,6.75044e+07
striped,lookup,100000,8,1024,2,123,3,131310590,6.56328e+07
striped,lookup,100000,16,1024,2,123,1,140830548,7.03649e+07
striped,lookup,100000,16,1024,2,123,2,145243249,7.25758e+07
striped,lookup,100000,16,1024,2,123,3,142831092,7.13648e+07
striped,lookup,1000000,1,1024,2,123,1,12933010,6.46604e+06
striped,lookup,1000000,1,1024,2,123,2,11408750,5.70358e+06
striped,lookup,1000000,1,1024,2,123,3,13756286,6.87773e+06
striped,lookup,1000000,2,1024,2,123,1,23609566,1.18035e+07
striped,lookup,1000000,2,1024,2,123,2,23629671,1.18133e+07
striped,lookup,1000000,2,1024,2,123,3,24010733,1.20036e+07
striped,lookup,1000000,4,1024,2,123,1,46068260,2.30289e+07
striped,lookup,1000000,4,1024,2,123,2,45701506,2.28464e+07
striped,lookup,1000000,4,1024,2,123,3,46339428,2.31651e+07
striped,lookup,1000000,8,1024,2,123,1,69764649,3.4869e+07
striped,lookup,1000000,8,1024,2,123,2,70719306,3.53474e+07
striped,lookup,1000000,8,1024,2,123,3,70928218,3.54512e+07
striped,lookup,1000000,16,1024,2,123,1,81720052,4.08337e+07
striped,lookup,1000000,16,1024,2,123,2,75365881,3.76559e+07
striped,lookup,1000000,16,1024,2,123,3,79331407,3.96373e+07
striped,insert,10000,1,1024,2,123,1,32837876,1.64172e+07
striped,insert,10000,1,1024,2,123,2,38913423,1.94556e+07
striped,insert,10000,1,1024,2,123,3,34290734,1.71442e+07
striped,insert,10000,2,1024,2,123,1,50838755,2.54172e+07
striped,insert,10000,2,1024,2,123,2,50209994,2.5103e+07
striped,insert,10000,2,1024,2,123,3,48733753,2.43651e+07
striped,insert,10000,4,1024,2,123,1,73373644,3.66804e+07
striped,insert,10000,4,1024,2,123,2,73717469,3.68561e+07
striped,insert,10000,4,1024,2,123,3,72805036,3.63982e+07
